TB_NUM,JUMBO,BREED,LACTATION,CALVING_DATE,DIM,WEEKOFYEAR,DATEOFSCORING,BCS0_5,BCS1_5,BODY_WEIGHT,MANUALBCS_FB,MANUALBCS_JK
IE331097821904,1904,FR,1,05/02/2016,67,15,12/04/2016,,3.96,,3,3
IE151604921094,1094,FR,2,29/01/2016,81,16,19/04/2016,,3.26,495,,
IE151604921094,1094,FR,2,29/01/2016,95,18,03/05/2016,,3.32,,,
IE141582022084,2084,FR,4,13/02/2016,59,15,12/04/2016,,3.25,632,3,3
IE151604921094,1094,FR,2,29/01/2016,109,20,17/05/2016,,3.36,,,
IE151604921094,1094,FR,2,29/01/2016,123,22,31/05/2016,,3.54,,,
IE141582052120,2120,FR,4,11/02/2016,61,15,12/04/2016,,2.86,610,2.75,2.75
IE151604921094,1094,FR,2,29/01/2016,137,24,14/06/2016,,3.31,,,
IE151941640213,213,FR,2,25/02/2016,47,15,12/04/2016,,2.94,520,3,3
IE151028192133,2133,FR,4,01/02/2016,71,15,12/04/2016,,3.38,,3,3
IE151604921094,1094,FR,2,29/01/2016,207,34,23/08/2016,,3.44,557,,
IE151604921094,1094,FR,2,29/01/2016,214,35,30/08/2016,,3.42,506,,
IE151604921094,1094,FR,2,29/01/2016,221,36,06/09/2016,,3.41,522,,
IE151604921094,1094,FR,2,29/01/2016,242,39,27/09/2016,,3.34,538,,
IE151604921094,1094,FR,2,29/01/2016,249,40,04/10/2016,,3.33,,,
IE151604921094,1094,FR,2,29/01/2016,256,41,11/10/2016,,3.46,544.04,3,
IE151604921094,1094,FR,2,29/01/2016,263,42,18/10/2016,,3.43,576,,
IE151604921094,1094,FR,2,29/01/2016,270,43,25/10/2016,,3.53,580,,
IE151604921094,1094,FR,2,29/01/2016,277,44,01/11/2016,,3.42,573,3,
IE141893662157,2157,FR,2,18/02/2016,54,15,12/04/2016,,3.31,487,2.75,2.75
IE151604921094,1094,FR,2,29/01/2016,291,46,15/11/2016,,3.57,598,,
IE151604921094,1094,FR,2,29/01/2016,298,47,22/11/2016,,3.6,590,,
IE151604921094,1094,FR,2,29/01/2016,305,48,29/11/2016,,3.51,,,
IE151604971140,1140,FR,2,23/02/2016,28,12,22/03/2016,,3.1,536,,
IE151604971140,1140,FR,2,23/02/2016,35,13,29/03/2016,,2.94,515,,
IE151604971140,1140,FR,2,23/02/2016,42,14,05/04/2016,,3.06,500,,
IE151941660248,248,FR,1,25/02/2016,47,15,12/04/2016,,3.46,406,2.75,3
IE151941670249,249,FR,1,19/01/2016,84,15,12/04/2016,,3.57,367,2.75,2.75
IE151941660025,25,FR,2,03/02/2016,69,15,12/04/2016,,3.47,462,3,3
IE151604971140,1140,FR,2,23/02/2016,182,34,23/08/2016,,3.22,,,
IE151604971140,1140,FR,2,23/02/2016,189,35,30/08/2016,,3.24,573,,
IE151604971140,1140,FR,2,23/02/2016,196,36,06/09/2016,,3.35,583,,
IE151604971140,1140,FR,2,23/02/2016,224,40,04/10/2016,,3.19,,,
IE151604971140,1140,FR,2,23/02/2016,231,41,11/10/2016,,3.22,633.36,2.75,
IE151604971140,1140,FR,2,23/02/2016,238,42,18/10/2016,,3.18,658,,
IE151604971140,1140,FR,2,23/02/2016,245,43,25/10/2016,,3.19,650,,
IE151604971140,1140,FR,2,23/02/2016,252,44,01/11/2016,,3.23,649,2.75,
IE151941610251,251,FR,1,25/02/2016,47,15,12/04/2016,,3.46,428,2.75,3
IE151604971140,1140,FR,2,23/02/2016,266,46,15/11/2016,,3.35,654,,
IE151604971140,1140,FR,2,23/02/2016,273,47,22/11/2016,,3.27,684,,
IE151604971140,1140,FR,2,23/02/2016,280,48,29/11/2016,,3.34,,,
IE151604971140,1140,FR,2,23/02/2016,287,49,06/12/2016,,3.22,656,2.75,
IE151604971140,1140,FR,2,23/02/2016,294,50,13/12/2016,,3.21,,,
